,BASELINE_ANGLE,TOP_MARGIN,LETTER_SIZE,LINE_SPACING,WORD_SPACING,SLANT_ANGLE,IMAGE_NAME
281,0,1,2,1,0,1,b05-079.png
282,1,1,0,1,2,1,b05-083.png
283,2,1,0,1,2,1,b05-088.png
284,0,1,2,1,0,1,b05-098.png
285,2,0,2,0,2,1,b06-000.png
286,2,1,2,2,0,1,b06-004.png
287,2,1,2,1,0,1,b06-008.png
288,0,1,2,0,0,1,b06-012.png
289,0,1,2,1,1,1,b06-015.png
290,1,1,0,1,1,1,b06-019.png
291,2,0,2,2,2,1,b06-023.png
292,2,1,0,1,2,1,b06-027.png
293,1,1,0,2,2,1,b06-032.png
294,2,1,2,1,0,0,b06-036.png
295,2,0,2,2,2,1,b06-042.png
296,2,1,2,1,0,1,b06-045.png
297,2,1,2,1,0,1,b06-049.png
298,2,0,2,2,2,1,b06-053.png
299,0,1,2,1,0,1,b06-056.png
300,2,0,2,0,2,1,b06-059.png
301,0,0,1,2,2,1,b06-064.png
302,0,0,1,2,1,1,b06-068.png
303,2,1,0,1,2,1,b06-071.png
304,2,1,0,1,0,1,b06-075.png
305,2,1,2,1,0,1,b06-079.png
306,1,1,0,1,1,1,b06-082.png
307,0,0,2,2,2,1,b06-087.png
308,2,0,1,2,2,1,b06-090.png
309,2,1,0,1,2,1,b06-093.png
310,0,0,1,0,2,1,b06-097.png
311,1,1,2,2,0,1,b06-100.png
312,1,1,0,2,2,1,b06-110.png
313,0,1,2,1,1,6,c01-009.png
314,1,1,0,1,1,6,c01-014.png
315,1,1,0,2,1,1,c01-066.png
316,0,1,2,1,1,6,c02-000.png
317,2,0,1,0,2,6,c02-003.png
318,0,0,1,2,2,1,c02-007.png
319,0,0,1,2,0,1,c02-012.png
320,0,0,1,1,2,1,c02-017.png
321,2,0,1,2,2,1,c02-022.png
322,0,0,2,1,1,6,c02-026.png
323,0,1,0,1,2,1,c02-030.png
324,2,1,2,0,1,1,c02-035.png
325,2,1,0,1,1,1,c02-049.png
326,2,1,0,1,0,1,c02-056.png
327,0,0,2,2,1,6,c02-059.png
328,0,0,2,2,0,6,c02-078.png
329,2,1,2,1,1,6,c02-082.png
330,2,0,1,0,2,1,c02-089.png
331,2,1,0,2,2,1,c03-000a.png
332,0,1,0,2,1,6,c03-000b.png
333,0,0,2,2,1,1,c03-000c.png
334,2,1,0,2,1,1,c03-000d.png
335,2,1,0,1,2,1,c03-000e.png
336,2,0,2,1,2,1,c03-000f.png
337,2,0,2,1,1,1,c03-003a.png
338,2,1,0,2,2,6,c03-003b.png
339,1,1,2,2,1,6,c03-003c.png
340,2,0,1,2,2,6,c03-003d.png
341,2,1,0,1,2,1,c03-003e.png
342,2,0,1,1,2,1,c03-003f.png
343,0,1,0,2,0,6,c03-007.png
344,0,0,2,2,2,1,c03-007a.png
345,0,0,2,2,2,1,c03-007b.png
346,1,0,1,0,2,1,c03-007c.png
347,0,0,2,2,1,6,c03-007d.png
348,2,0,2,1,1,1,c03-007e.png
349,2,0,1,2,2,6,c03-007f.png
350,0,0,2,1,2,1,c03-016a.png
351,1,1,2,1,1,1,c03-016b.png
352,0,1,2,1,1,1,c03-016c.png
353,0,0,1,1,1,1,c03-016d.png
354,2,1,0,1,2,1,c03-016e.png
355,2,0,2,1,1,1,c03-021a.png
356,2,1,0,1,1,6,c03-021b.png
357,1,0,1,2,1,1,c03-021c.png
358,1,1,2,2,1,6,c03-021d.png
359,0,1,0,1,2,1,c03-021e.png
360,0,0,2,1,2,1,c03-021f.png
361,0,0,2,2,2,1,c03-081a.png
362,2,1,0,1,2,1,c03-081b.png
363,0,0,2,2,2,1,c03-081c.png
364,2,1,0,1,1,1,c03-081d.png
365,0,0,2,1,2,1,c03-081e.png
366,2,0,2,1,1,1,c03-081f.png
367,0,1,2,2,1,1,c03-084a.png
368,1,1,0,2,2,6,c03-084b.png
369,1,1,0,2,2,1,c03-084c.png
370,2,1,0,2,2,6,c03-084d.png
371,2,1,0,1,2,1,c03-084e.png
372,2,0,2,1,2,1,c03-084f.png
373,1,1,2,2,1,1,c03-087a.png
374,1,1,0,2,1,1,c03-087b.png
375,1,1,0,2,2,1,c03-087c.png
376,1,1,0,1,1,6,c03-087d.png
377,1,1,0,1,2,1,c03-087e.png
378,2,0,2,1,2,1,c03-087f.png
379,2,1,2,1,1,1,c03-094a.png
380,0,1,0,1,1,1,c03-094b.png
381,0,1,2,1,1,1,c03-094c.png
382,1,1,0,1,2,6,c03-094d.png
383,1,1,0,1,2,1,c03-094e.png
384,0,1,2,1,1,6,c03-094f.png
385,0,1,2,2,1,1,c03-096a.png
386,2,1,0,2,2,1,c03-096b.png
387,2,1,2,2,1,1,c03-096c.png
388,2,1,2,2,1,1,c03-096d.png
389,2,0,1,1,2,1,c03-096e.png
390,2,1,2,1,0,1,c03-096f.png
391,0,0,1,0,2,6,c04-000.png
392,2,0,1,0,2,6,c04-004.png
393,0,0,1,2,2,6,c04-008.png
394,0,0,1,0,2,6,c04-013.png
395,2,0,1,2,2,6,c04-017.png
396,2,0,2,0,2,6,c04-023.png
397,2,0,1,2,2,6,c04-028.png
398,2,1,2,1,1,1,c04-035.png
399,1,0,2,2,2,6,c04-039.png
400,0,1,0,1,1,6,c04-044.png
401,2,0,2,2,1,6,c04-050.png
402,0,1,2,2,1,6,c04-056.png
403,2,0,1,0,2,6,c04-061.png
404,1,0,1,0,2,6,c04-066.png
405,2,0,1,2,2,6,c04-075.png
406,2,1,2,2,1,6,c04-080.png
407,2,0,1,0,2,6,c04-089.png
408,0,0,2,0,2,6,c04-098.png
409,1,1,2,2,1,6,c04-105.png
410,0,0,1,0,2,6,c04-110.png
411,0,0,1,0,2,6,c04-116.png
412,0,0,2,2,2,6,c04-122.png
413,0,1,2,2,1,6,c04-128.png
414,2,0,1,0,2,6,c04-134.png
415,2,0,1,2,2,6,c04-139.png
416,0,1,0,2,2,6,c04-144.png
417,1,1,0,2,1,6,c04-150.png
418,1,0,2,2,2,6,c04-156.png
419,0,1,0,1,2,6,c04-160.png
420,2,0,2,2,2,6,c04-165.png
421,0,0,1,0,2,6,c04-170.png
422,1,1,0,2,2,1,c06-000.png
423,2,1,0,1,2,6,c06-005.png
424,2,1,0,2,2,6,c06-011.png
425,2,1,0,1,2,6,c06-014.png
426,1,1,0,2,1,6,c06-020.png
427,2,0,1,0,2,6,c06-027.png
428,2,0,1,0,2,6,c06-031.png
429,2,1,2,0,1,6,c06-039.png
430,0,1,0,2,1,6,c06-043.png
431,2,1,0,1,2,1,c06-047.png
432,2,1,2,2,1,6,c06-052.png
433,2,0,2,0,2,6,c06-058.png
434,0,1,2,1,1,6,c06-076.png
435,0,1,0,1,1,6,c06-080.png
436,0,1,0,1,2,1,c06-083.png
437,1,1,0,2,0,1,c06-087.png
438,1,1,0,2,2,6,c06-091.png
439,2,0,1,0,2,6,c06-095.png
440,0,0,2,0,2,6,c06-100.png
441,2,1,0,1,2,6,c06-103.png
442,2,1,2,1,1,6,c06-106.png
443,1,1,2,2,1,1,c06-111.png
444,0,1,2,2,1,1,c06-116.png
445,2,0,1,2,2,6,c06-128.png
446,0,1,0,1,1,1,c06-138.png
447,1,0,2,0,2,6,d01-016.png
448,0,1,2,0,1,6,d01-019.png
449,0,0,2,2,1,6,d01-024.png
450,2,1,0,2,0,6,d01-049.png
451,1,1,0,2,2,6,d01-052.png
452,1,0,1,2,1,1,d01-056.png
453,0,1,2,1,1,1,d01-060.png
454,1,0,2,2,1,6,d01-080.png
455,1,0,1,2,2,1,d01-085.png
456,1,0,2,0,2,1,d01-098.png
457,2,0,2,0,2,1,d01-104.png
458,0,1,0,2,1,1,d01-118.png
459,1,1,2,2,1,1,d01-123.png
460,1,0,1,0,2,1,d03-112.png
461,2,0,1,1,2,1,d03-117.png
462,0,0,1,0,2,6,d04-005.png
463,1,0,1,0,2,6,d04-008.png
464,2,0,2,2,2,6,d04-012.png
465,2,0,1,0,0,6,d04-016.png
466,1,0,1,0,2,6,d04-021.png
467,1,0,1,0,2,6,d04-028.png
468,2,0,2,1,2,6,d04-032.png
469,1,1,2,2,0,6,d04-037.png
470,0,0,1,0,0,6,d04-047.png
471,0,0,2,0,2,1,d04-050.png
472,2,0,2,2,2,6,d04-053.png
473,2,0,1,0,2,6,d04-058.png
474,1,0,1,0,0,6,d04-062.png
475,2,1,2,1,1,6,d04-066.png
476,0,0,1,0,2,6,d04-071.png
477,1,1,2,1,1,6,d04-075.png
478,1,1,2,2,1,6,d04-081.png
479,1,0,2,0,2,6,d04-086.png
480,0,0,1,0,2,6,d04-089.png
481,2,0,1,0,2,6,d04-096.png
482,2,0,2,0,2,6,d04-101.png
483,1,1,2,1,1,6,d04-111.png
484,0,0,1,0,2,6,d04-117.png
485,1,0,1,0,2,6,d04-121.png
486,0,0,1,0,2,6,d04-125.png
487,2,1,2,2,1,6,d04-131.png
488,0,0,2,2,2,6,d05-008.png
489,0,1,2,2,1,6,d05-013.png
490,0,1,2,2,1,6,d05-021.png
491,0,0,2,2,2,6,d05-025.png
492,0,0,2,2,2,6,d05-030.png
493,0,1,0,2,2,6,d05-040.png
494,1,1,2,2,1,1,d06-000.png
495,0,0,2,2,1,6,d06-003.png
496,1,1,0,2,2,6,d06-008.png
497,2,1,0,1,2,6,d06-011.png
498,0,1,2,0,1,6,d06-015.png
499,2,1,0,2,0,6,d06-020.png
500,0,0,1,2,1,6,d06-025.png
501,0,0,2,2,1,6,d06-027.png
502,2,1,2,2,1,1,d06-030.png
503,1,1,2,2,1,6,d06-037.png
504,1,1,0,2,2,6,d06-041.png
505,2,1,0,1,2,1,d06-046.png
506,1,1,0,2,2,1,d06-050.png
507,1,0,2,2,2,6,d06-056.png
508,2,1,0,1,1,1,d06-060.png
509,2,1,0,1,1,1,d06-063.png
510,0,0,1,1,2,6,d06-067.png
511,2,1,2,1,0,6,d06-072.png
512,0,0,1,0,2,6,d06-076.png
513,0,1,2,0,1,1,d06-082.png
514,2,1,0,1,1,1,d06-086.png
515,2,0,2,2,2,1,d06-091.png
516,1,1,2,2,1,6,d06-096.png
517,1,1,0,2,0,1,d06-100.png
518,0,1,0,1,0,6,d06-104.png
519,0,0,2,1,2,1,d06-107.png
520,0,1,0,2,0,6,d06-111.png
521,2,1,0,2,2,1,d06-113.png
522,0,1,0,2,2,1,d07-082.png
523,1,1,0,2,0,1,d07-085.png
524,1,1,0,1,2,1,d07-089.png
525,0,1,0,1,2,1,d07-093.png
526,2,0,1,1,2,1,d07-096.png
527,1,1,0,2,2,1,d07-100.png
528,2,1,2,2,0,1,d07-102.png
529,0,1,2,0,1,1,e01-014.png
530,1,1,2,2,0,1,e01-018.png
531,2,1,0,2,0,1,e01-022.png
532,0,1,0,1,2,1,e01-025.png
533,2,0,1,2,2,1,e01-029.png
534,2,0,1,2,1,1,e01-032.png
535,1,0,2,2,2,1,e01-035.png
536,1,1,2,2,1,1,e01-050.png
537,1,1,0,1,1,1,e01-055.png
538,1,0,2,2,1,1,e01-059.png
539,0,1,2,0,0,1,e01-062.png
540,2,0,1,0,2,1,e01-081.png
541,2,1,2,2,0,1,e01-086.png
542,0,1,0,2,0,1,e01-092.png
543,2,1,0,2,2,1,e01-102.png
544,1,1,2,2,0,0,e01-107.png
545,2,0,2,2,1,1,e01-113.png
546,2,0,1,2,2,1,e01-119.png
547,0,1,0,2,0,1,e02-000.png
548,0,0,1,0,0,1,e02-014.png
549,2,1,2,2,0,1,e02-018.png
550,0,0,2,1,2,1,e02-021.png
551,1,0,2,2,2,1,e02-025.png
552,2,0,2,2,2,1,e02-074.png
553,1,1,2,1,1,1,e02-082.png
554,2,0,2,0,1,1,e02-086.png
555,0,1,2,0,1,0,e02-091.png
556,2,0,2,0,2,1,e02-094.png
557,0,1,2,0,0,1,e02-100.png
558,0,0,1,2,2,1,e02-117.png
559,2,0,1,0,2,1,e04-000.png
560,2,0,1,2,2,1,e04-004.png
561,1,0,1,0,2,1,e04-008.png
562,2,1,0,2,0,1,e04-011.png
563,0,1,2,2,0,1,e04-015.png
564,2,0,1,0,0,1,e04-019.png
565,2,0,1,0,2,1,e04-022.png
566,1,0,1,0,2,1,e04-026.png
567,1,0,2,0,2,1,e04-030.png
568,1,1,2,2,0,1,e04-034.png
569,2,0,2,2,1,1,e04-038.png
570,2,0,2,2,1,1,e04-043.png
571,2,1,2,2,0,1,e04-052.png
572,1,1,2,0,0,1,e04-058.png
573,2,1,2,2,0,1,e04-062.png
574,2,0,1,0,2,1,e04-068.png
575,2,0,1,0,0,1,e04-079.png
576,1,0,1,0,2,1,e04-083.png
577,2,1,2,0,0,1,e04-086.png
578,2,0,1,0,2,1,e04-091.png
579,0,0,2,2,2,1,e04-095.png
580,2,1,2,2,1,1,e04-099.png
581,2,1,0,2,0,1,e04-103.png
582,0,0,1,2,2,1,e04-109.png
583,0,0,2,2,2,1,e04-114.png
584,1,0,2,2,2,1,e04-119.png
585,1,1,2,2,0,1,e04-124.png
586,1,0,2,2,2,1,e04-127.png
587,1,1,0,0,2,1,e04-132.png
588,1,0,1,2,2,1,e06-000.png
589,0,1,0,1,2,1,e06-003.png
590,0,0,1,2,2,1,e06-006.png
591,2,1,0,2,0,1,e06-010.png
592,1,1,0,1,2,1,e06-015.png
593,1,1,2,1,0,1,e06-021.png
594,1,1,0,1,2,1,e06-026.png
595,0,1,0,1,2,1,e06-030.png
596,2,1,0,1,2,1,e06-033.png
597,0,0,1,2,2,1,e06-037.png
598,2,0,1,2,2,1,e06-041.png
599,0,0,2,2,1,1,e06-046.png
600,2,0,2,2,1,1,e06-049.png
601,1,1,0,1,2,1,e06-053.png
602,0,1,0,1,2,1,e06-070.png
603,2,0,2,0,2,1,e07-000.png
604,2,1,2,2,1,1,e07-003.png
605,1,1,2,2,0,1,e07-007.png
606,1,1,2,1,0,1,e07-012.png
607,1,1,2,1,0,1,e07-061.png
608,2,1,2,2,0,1,e07-066.png
609,1,1,2,1,0,1,e07-072.png
610,0,1,0,1,0,1,e07-076.png
611,0,0,2,1,2,1,e07-079.png
612,0,0,2,1,1,1,e07-083.png
613,1,1,0,1,2,1,e07-086.png
614,2,1,0,1,0,1,e07-090.png
615,0,1,2,2,0,1,e07-094.png
616,2,0,1,2,2,1,e07-098.png
617,2,1,0,2,0,1,e07-101.png
618,2,1,2,0,0,1,e07-105.png
619,2,1,2,2,0,1,e07-108.png
620,2,1,0,2,0,1,e07-112.png
621,2,0,2,0,1,1,f01-053.png
622,2,0,1,2,2,1,f01-058.png
623,2,1,0,1,2,1,f01-066.png
624,0,1,2,2,1,1,f01-070.png
625,0,1,2,2,0,1,f01-075.png
626,1,1,0,1,2,1,f01-081.png
627,2,0,2,2,2,1,f01-085.png
628,1,1,0,1,2,1,f01-135.png
629,0,0,2,2,2,1,f01-139.png
630,1,0,1,2,2,1,f01-143.png
631,2,1,2,2,1,1,f01-147.png
632,2,1,2,2,0,1,f02-000.png
633,0,0,1,0,2,1,f02-003.png
634,2,1,0,2,2,1,f02-017.png
635,0,0,2,2,2,1,f02-020.png
636,2,0,2,2,2,1,f02-030.png
637,2,0,2,1,2,1,f02-033.png
638,1,1,2,1,0,1,f02-036.png
639,0,0,1,2,2,1,f02-038.png
640,2,0,1,1,2,1,f02-040.png
641,1,1,2,1,0,1,f02-044.png
642,2,0,1,0,2,1,f02-076.png
643,1,1,2,2,0,1,f03-169.png
644,0,1,2,2,0,1,f03-174.png
645,1,0,1,2,2,1,f03-182.png
646,1,1,2,2,1,1,f03-191.png
647,2,1,0,1,2,1,f04-004.png
648,1,0,2,0,1,1,f04-007.png
649,0,1,0,1,2,1,f04-011.png
650,0,1,0,1,0,1,f04-016.png
651,0,1,2,2,0,1,f04-020.png
652,0,0,2,2,2,1,f04-024.png
653,0,1,0,1,2,1,f04-028.png
